cep;cidade;numero;origem;estado;cnpj;nome;recompra;fantasia;razao_social;telefone;email;tag1;inscricao_estadual;codigo;logradouro;bairro;ibge;celular
06310-240;CARAPICUIBA;51;Base Bignotto;SP;45.104.213/0001-00;FUNERARIA SAO PAULO LTDA;20;;FUNERARIA SAO PAULO LTDA;(11) 4184-2971;crbervcontabe@globo.com;IUB;255.024.190.111;34;AVENIDA GOVERNADOR MARIO COVAS;CENTRO;3510609;(11) 4184-3311
11520-000;CUBATAO;246;Base Bignotto;SP;51.642.304/0001-93;ORGANIZACAO SAO LAZARO DE LUTO LTDA ME;20;;ORGANIZACAO SAO LAZARO DE LUTO LTDA ME;013 3372-6173;funerariasaolazaro@outlook.com;IUB;ISENTO;35;AVENIDA AVENIDA HENRY BORDEN;VILA SANTA ROSA;3513504;
09912-900;DIADEMA;111;Base Bignotto;SP;46.523.247/0001-93;MUNICIPIO DE DIADEMA;20;DIADEMA PREFEIRUTA;MUNICIPIO DE DIADEMA;011 4057-7700;funerariadediadema@gmail.com;IUB;ISENTO;37;RUA ALMIRANTE BARROSO;VILA SANTA DIRCE;3513801;011 4057.7868
13974-340;ITAPIRA;123;Base Bignotto;SP;44.734.473/0001-98;SERVICO FUNERARIO ITAPIRENSE LTDA ME;20;SERVICO FUNERARIO IT;SERVICO FUNERARIO ITAPIRENSE LTDA ME;019 3863-0393;servuneitapirense@hotmail.com;IUB;374.013.614.110;53;RUA RUI BARBOSA;BAIRRO;3522604;
13300-005;ITU;1492;Base Bignotto;SP;04.279.201/0001-20;SERV FUNER.EST.TURISTICA DE ITU;20;ITU;SERV FUNER.EST.TURISTICA DE ITU;011 4013-0848;aldobertola@ig.com.br;IUB;ISENTO;54;RUA FLORIANO PEIXOTO;CENTRO;3523909;011 7322-2223
13486-105;LIMEIRA;231;Base Bignotto;SP;51.327.229/0001-76;ORG SOCIAL DE LUTO A T LTDA ME;20;;ORG SOCIAL DE LUTO A T LTDA ME;019 3441-7865;luisgraf2010@hotmail.com;IUB;417.015.170.118;58;RUA MARIO SOUZA QUEIROZ;BOA VISTA;3526902;019 2113-1777
13486-190;LIMEIRA;2308;Base Bignotto;SP;51.409.555/0001-22;ORGANIZACAO SOCIAL DE LUTO BOM PASTOR LT;20;ORGANIZACAO SOCCIAL;ORGANIZACAO SOCIAL DE LUTO BOM PASTOR LTDA EPP;19 2113-1777;funeraisbompastorlim@gmail.com;IUB;417.044.729.116;59;AV MAJOR JOSE LEVY SOBRINHO;JARDIM NEREIDE;3526902;19 3444-0997
15910-000;MONTE ALTO;671;Base Bignotto;SP;52.690.336/0001-27;ORGANIZACAO FUNERARIA SANTA IZILDINHA;20;SANTA IZILDINHA;ORGANIZACAO FUNERARIA SANTA IZILDINHA LTDA;016 3241-1900;funerariasantaizildinha@montealto.net;IUB;461.116.085.114;64;RUA JEREMIAS DE PAULA EDUARDO;CENTRO;3531308;016 3242.2121
17700-000;OSVALDO CRUZ;373;Base Bignotto;SP;43.401.801/0001-71;EMPRESA FUNERARIA TAMOIOS LTDA - ME;20;;EMPRESA FUNERARIA TAMOIOS LTDA - ME;018 3528-1601;funerariatamoios@gmail.com;IUB;494.008.351.112;69;RUA DR TAVES;CENTRO;3534609;018 99716-0214
37902-026;PASSOS;3302;Base Bignotto;MG;23.280.084/0001-60;LAR SAO VICENTE DE PAULO DE PASSOS;20;LAR SAO VICENTE DE P;LAR SAO VICENTE DE PAULO DE PASSOS;035 3521-0403;gerenciafuneraria@larsaovicentedepassos.;IUB;ISENTO;72;AV ARLINDO FIGUEIREDO;SAO FRANCISCO;3147907;
25685-180;PETROPOLIS;36;Base Bignotto;RJ;29.671.468/0001-90;FUNERARIA OSWALDO CRUZ LTDA;20;FUNERARIA OSWALDO CR;FUNERARIA OSWALDO CRUZ LTDA;024 2243-0483;ruyligeirojr@yahoo.com.br;IUB;ISENTO;76;PRACA OSWALDO CRUZ;CENTRO;3303906;
15500-467;VOTUPORANGA;3446;Base Bignotto;SP;59.613.612/0001-00;R C C NOGUEIRA FUNERARIA LTDA;20;ORGANIZACAO SOCIAL D;R C C NOGUEIRA FUNERARIA LTDA;017 3405-9333;compras@rosamistica.com.br;IUB;718.292.923.112;77;RUA ITACOLOMI;VILA MARIN;3557105;
18800-000;PIRAJU;500;Base Bignotto;SP;49.115.694/0001-00;EMPRESA FUNERARIA PIRAJUENSE LTDA ME;20;;EMPRESA FUNERARIA PIRAJUENSE LTDA ME;014 3351-1324;funeraria_pirajuense@hotmail.com;IUB;537.005.687.114;81;RUA JOAO HAILER;CENTRO;3538808;
13630-080;PIRASSUNUNGA;1215;Base Bignotto;SP;53.573.911/0001-74;FUNERARIA LEBEIS E LEBEIS LTDA - ME;20;ORGANIZACAO DE LUTO;FUNERARIA LEBEIS E LEBEIS LTDA - ME;019 3561-3987;funerarialebeis@hotmail.com;IUB;ISENTO;82;RUA DA SAUDADE;CENTRO;3539301;019 3561-3764
09400-110;RIBEIRAO PIRES;288;Base Bignotto;SP;46.522.967/0001-34;PREFEITURA MUNICIPAL DA EST TUR DE RIBEI;20;RIBEIRAO PIRES;PREFEITURA MUNICIPAL DA EST TUR DE RIBEIRAO PIRES;011 4828-9800;sam@ribeiraopires.sp.gov.br;IUB;ISENTO;86;RUA MIGUEL PRISCO;CENTRO;3543303;011 4828-1609
15950-000;SANTA ADELIA;216;Base Bignotto;SP;53.621.918/0001-14;FUNERARIA SANTA ADELIA LTDA ME;20;FUNERARIA SANTA ADEL;FUNERARIA SANTA ADELIA LTDA ME;17 3571-1528;funerariasantaadelia476@hotmail.com;IUB;604.003.269.118;89;RUA BERNARDINO DE CAMPOS;CENTRO;3545605;
13560-011;SAO CARLOS;2657;Base Bignotto;SP;56.155.260/0001-90;ANTONIO NELSON PARROS ME;20;ORGANIZACAO SOCIAL D;ANTONIO NELSON PARROS ME;16 3372-1576;funerariasaocarlos2014@hotmail.com;IUB;637.059.078.115;91;AVENIDA SAO CARLOS;CENTRO;3548906;16 99781-8283
13720-000;SAO JOSE DO RIO PARDO;9;Base Bignotto;SP;59.897.587/0001-26;JURANDIR DO CARMO RIOLLI ME;20;FUNERARIA SAO JOSE;JURANDIR DO CARMO RIOLLI ME;019 3608-5095;jurandirrioli@oultlook.com;IUB;ISENTO;98;AVENIDA;CIDADE;3549706;019 3665-3335
09040-230;SANTO ANDRE;111;Base Bignotto;SP;57.614.976/0001-71;SERVICO FUNERARIO DO MUNICIPIO DE SANTO;20;SANTO ANDRE;SERVICO FUNERARIO DO MUNICIPIO DE SANTO ANDRE;011 4433-3544;compras@sfmsa.sp.gov.br;IUB;ISENTO;99;RUA JOAO BELETATO;JARDIM BELA VISTA;3547809;
38400-172;UBERLANDIA;286;Base Bignotto;MG;17.793.928/0001-73;FUNERARIA ANGELO CUNHA LTDA EPP;20;ANGELO CUNHA;FUNERARIA ANGELO CUNHA LTDA EPP;034 3236-2657;valeriacunha@icloud.com;IUB;702.107.483.00-17;105;RUA PROFESSOR PEDRO BERNARDO;CENTRO;3170206;034 99976-2285
37004-630;VARGINHA;455;Base Bignotto;MG;11.881.834/0001-70;SEMUL-SERVICO MUN.FUNER.E DE ORGANIZACAO;20;PRE.VARGINHA;SEMUL-SERVICO MUN.FUNER.E DE ORGANIZACAO DE LUTO;035 3690-2129;jackeline.fernandes@varginha.mg.gov.br;IUB;ISENTO;108;RUA DOTOR BENEVENUTO BRAZ VIEIRA;VILA ANDERE;3170701;
15505-168;VOTUPORANGA;3758;Base Bignotto;SP;49.983.166/0001-64;ORGANIZACAO SOCIAL DE LUTO VOTUPORANGA;20;FUNERARIA SAGRADO CO;ORGANIZACAO SOCIAL DE LUTO VOTUPORANGA  LTDA;017 3421-6271;"roma.ac@terra.com.br;funerariasagradocoracao@gmail.com";IUB;ISENTO;110;RUA GOIAS;VILA HERCILIA;3557105;017 99784-1670
13311-170;ITU;9;Base Bignotto;SP;50.228.121/0001-63;EMPRESA FUNERARIA BARBIERI DE ITU LTDA E;20;FUNERARIA BARBIERI;EMPRESA FUNERARIA BARBIERI DE ITU LTDA EPP;011 4022-2024;edson@commais.com.br;IUB;ISENTO;111;ALAMEDA ALICE;JD ALBERTO GOMES;3523909;
37478-000;SOLEDADE DE MINAS;195;Base Bignotto;MG;42.928.887/0001-22;ROMILDO PAIVA E CIA LTDA ME;20;FUNERARIA BOM JESUS;ROMILDO PAIVA E CIA LTDA ME;035 3333-1276;fbjsoledade@gmail.com;IUB;6788174150049;114;RUA VEREADOR JOSE AFONSO DE SOUZA;CENTRO;3167806;
37701-013;POCOS DE CALDAS;343;Base Bignotto;MG;18.629.840/0001-83;PREFEITURA MUNICIPAL DE POCOS DE CALDAS;20;PREF.POCOS;PREFEITURA MUNICIPAL DE POCOS DE CALDAS;035 3697-5000;funerariampocosdecaldas@gmail.com;IUB;ISENTO;115;AVENIDA FRANCISCO SALLES;CENTRO;3151800;035 36975076
74465-539;GOIANIA;5;Base Bignotto;GO;01.489.806/0001-58;FENIX ADMINISTRACAO DE SERVICOS LTDA;20;FENIX ADMINISTRACAO;FENIX ADMINISTRACAO DE SERVICOS LTDA;062 3224-8686;goiania@funerariafenix.com.br;IUB;ISENTO;123;RUA;ST CENTRAL QD 27 LT;5208707;062 98559-6368
27135-000;BARRA DO PIRAI;80;Base Bignotto;RJ;31.920.127/0001-52;FUNERARIA CHEREM 2000 LTDA;20;CHEREM 2000;FUNERARIA CHEREM 2000 LTDA;024 2442-0646;planofamiliarcherem2000@ig.com.br;IUB;83.329.971;124;RUA FLANKLIN DE MORAES;CENTRO;3300308;024 99257-5917
13920-000;PEDREIRA;15;Base Bignotto;SP;46.409.876/0001-97;FUNERARIA SANTANA LTDA;20;FUN.SANTA;FUNERARIA SANTANA LTDA;019 3893-2227;funerariasantana@uol.com.br;IUB;519.000.302.116;125;RUA;CENTRO;3537107;019 99784-0487
14701-690;BEBEDOURO;1764;Base Bignotto;SP;55.079.792/0001-23;ORGANIZACAO SAO JOAO SERVICOS POSTUMOS L;20;FUNERARIA SAO JOAO;ORGANIZACAO SAO JOAO SERVICOS POSTUMOS LTDA;017 3342-5771;rafael@organizacaosaojoao.com.br;IUB;210.004.989.116;130;AV JOSE CUTRALE JUNIOR;JARDIM CRUZEIRO DO S;3506102;
13700-000;CASA BRANCA;219;Base Bignotto;SP;45.505.492/0001-05;FAGANELO E CIA LTDA ME;20;;FAGANELO E CIA LTDA ME;19 3671-1066;douglasfaganelo@hotmail.com;IUB;257.006.222.119;131;RUA ALTINO ARANTES;CENTRO;3510807;
14790-000;GUAIRA;8;Base Bignotto;SP;55.187.496/0001-46;FUNERARIA GUAIRA LTDA ME;20;FUNERARIA SANTA RITA;FUNERARIA GUAIRA LTDA ME;017 33314620;funerariaguaira@hotmail.com;IUB;322.011.105.112;137;RUA;BAIRRO;3517406;
07196-220;GUARULHOS;90;Base Bignotto;SP;46.319.000/0001-50;MUNICIPIO DE GUARULHOS;20;PREF.M.GUARULHOS;MUNICIPIO DE GUARULHOS;011 2468-7211;fernandoalonso@guarulhos.sp.gov.br;IUB;ISENTO;138;AV BOM CLIMA;JD BOM CLIMA;3518800;011 2423-8617
19970-000;PALMITAL;50;Base Bignotto;SP;49.855.877/0001-53;FUNERARIA SANTA TEREZINHA LTDA - ME;20;FUNERARIA SANTA TERE;FUNERARIA SANTA TEREZINHA LTDA - ME;018 3351-1034;funerariasantaterezinha2008@hotmail.com;IUB;501.001.636.112;139;RUA JOAO MOREIRA DA SILVA;CENTRO;3535309;
18150-000;IBIUNA;268;Base Bignotto;SP;57.109.944/0001-19;FUNERARIA SANTO ANTONIO IBIUNA LTDA ME;20;FUNERARIA SANTO ANT;FUNERARIA SANTO ANTONIO IBIUNA LTDA ME;015 3241-1319;funerariasantoantonio33@hotmail.com;IUB;345.010.114.118;140;RUA DR GABRIEL MONTEIRO DA SILVA;CENTRO;3519709;
13690-000;DESCALVADO;501;Base Bignotto;SP;48.024.186/0001-45;ACCACIO RUSCA JUNIOR ME;20;ORGANIZACAO SOCIAL;ACCACIO RUSCA JUNIOR ME;019 3583-1010;cacinho1@uol.com.br;IUB;285.000.094.116;143;RUA CORONEL RAFAEL TOBIAS;CENTRO;3513702;019 99784-5927
14870-115;JABOTICABAL;211;Base Bignotto;SP;50.381.037/0001-85;BERLINGIERI E CIA LTDA ME;20;FUNERARIA SANTA ISAB;BERLINGIERI E CIA LTDA ME;016 3202-0950;spresotti@uol.com.br;IUB;ISENTO;149;AVENIDA BENTO VIEIRA;CENTRO;3524303;016 3202-0850
17201-490;JAU;855;Base Bignotto;SP;50.748.961/0001-57;IZATTO E CIA LTDA - EPP;20;FUNERARIA JAUENSE;IZATTO E CIA LTDA - EPP;014 3602-7200;aj-izatto@uol.com.br;IUB;401.008.904.110;150;RUA RANGEL PESTANA;CENTRO;3525300;
13480-050;LIMEIRA;353;Base Bignotto;SP;54.914.924/0001-22;FUNERARIA GULLO LTDA EPP;20;GULLO;FUNERARIA GULLO LTDA EPP;019 3441-1150;sbilatto@gmail.com;IUB;417.005.477.112;151;RUA ALFERES FRANCO;CENTRO;3526902;019 3441-4211
13271-210;VALINHOS;11;Base Bignotto;SP;73.077.778/0001-72;BRACALENTE E BRACALENTE LTDA ME;20;;BRACALENTE E BRACALENTE LTDA ME;;celsojr@funerariabracalente.com.br;IUB;708.001.563.119;154;AVENIDA;VILA PAPELAO;3556206;
09371-900;MAUA;205;Base Bignotto;SP;46.522.959/0001-98;PREFEITURA MUNICIPAL DE MAUA;20;PREF.MAUA;PREFEITURA MUNICIPAL DE MAUA;011 4514-7399;compras.ssu@maua.sp.gov.br;IUB;ISENTO;155;AVENIDA JOAO RAMALHO;CENTRO;3529401;011 4512-7828
15600-000;FERNANDOPOLIS;2555;Base Bignotto;SP;67.457.150/0001-08;COLOMBANO E COLOMBANO FUNERARIA LTDA;20;EMPRESA FUNERARIA FE;COLOMBANO E COLOMBANO FUNERARIA LTDA;17 3442-4822;renatocolombano@hotmail.com.br;IUB;304.035.948.110;156;AVENIDA AFONSO CAFARO;CORINTO;3515509;17 3442-1224
13270-005;VALINHOS;183;Base Bignotto;SP;54.950.837/0001-20;ROSANA PELAQUINI ME;20;PELAQUINI;ROSANA PELAQUINI ME;019 3271-1576;atendimento@funerariabracalente.com.br;IUB;708.019.719.117;159;RUA ANTONIO CARLOS;CENTRO;3556206;
15400-083;OLIMPIA;820;Base Bignotto;SP;45.260.916/0001-19;BONINI E DAUD OLIMPIA LTDA - ME;20;ANTONIETA;BONINI E DAUD OLIMPIA LTDA - ME;17 3281-1173;migueladaud1@gmail.com;IUB;ISENTO;160;RUA DAVID DE OLIVEIRA;CENTRO;3533908;17 99791-2150
12220-290;SAO JOSE DOS CAMPOS;100;Base Bignotto;SP;45.693.777/0001-17;URBANIZADORA MUNICIPAL S A URBAM;20;URBAN;URBANIZADORA MUNICIPAL S A URBAM;012 39086075;recebimento@urbam.com.br;IUB;645.033.117.110;164;RUA RICARDO EDWARDS;VILA INDUSTRIAL;3549904;012 3908-6000
38900-000;BAMBUI;80;Base Bignotto;MG;17.032.293/0001-91;HOSPITAL NOSSA SENHORA DO BRASIL;20;;HOSPITAL NOSSA SENHORA DO BRASIL;037 3431-5500;farmaciansbrasil@yahoo.com.br;IUB;ISENTO;167;RUA DR MARIO CAMPOS;CENTRO;3105103;
37950-000;SAO SEBASTIAO DO PARAISO;546;Base Bignotto;MG;19.370.477/0001-97;ORG SOCIAL DE LUTO FUNPAR LTDA ME;20;ORG.FUNPAR;ORG SOCIAL DE LUTO FUNPAR LTDA ME;035 3531-1935;funparssp@hotmail.com;IUB;ISENTO;179;AV WENCESLAU BRAZ;CENTRO;3164704;
37795-000;ANDRADAS;192;Base Bignotto;MG;66.194.531/0001-70;BOM PASTOR DE ANDRADAS ORGANIZACAO E LUT;20;B.PAST.ANDRA;BOM PASTOR DE ANDRADAS ORGANIZACAO E LUTO LTDA EPP;035 3731-2593;mineiro67@hotmail.com;IUB;ISENTO;180;RUA DA SAUDADE;CENTRO;3102605;
18200-280;ITAPETININGA;155;Base Bignotto;SP;49.697.527/0001-06;EMPRESA FUNERARIA CAMARGO LTDA;20;CAMARGO;EMPRESA FUNERARIA CAMARGO LTDA;015 3275-7446;martins@planocamargo.com.br;IUB;371.002.374.110;186;RUA SAO VICENTE DE PAULA;CENTRO;3522307;
15300-000;GENERAL SALGADO;1110;Base Bignotto;SP;48.266.324/0001-00;RAO ADM DE PLANOS FUNERARIOS E  ASS. FAM;20;MICHELI;RAO ADM DE PLANOS FUNERARIOS E  ASS. FAMILIAR LTDA;17 3832-3097;alexandrerao@hotmail.com;IUB;ISENTO;189;AV PLINIO RIBEIRO DO VAL;CENTRO;3516903;17 99623-3584
12281-540;CACAPAVA;45;Base Bignotto;SP;47.487.822/0001-02;EUGENIO PINTO DE FREITAS ME;20;UNIPLAN ASSITENCIA F;EUGENIO PINTO DE FREITAS ME;012 3653-3265;eugeniofilho@uniplanassistencia.com.br;IUB;234.017.361.111;193;PRACA RODRIGUES ALVES;CENTRO;3508504;012 3653-3584
14140-000;CRAVINHOS;253;Base Bignotto;SP;45.228.319/0001-07;MUNICIPIO DE CRAVINHOS;20;PREF.CRAVINHOS;MUNICIPIO DE CRAVINHOS;016 3951-9900;nfe@cravinhos.sp.gov.br;IUB;ISENTO;196;RUA TIRADENTES;CENTRO;3513108;
14400-730;FRANCA;1699;Base Bignotto;SP;65.655.383/0001-81;FUNERARIA SAO FRANCISCO DE FRANCA LTDA E;20;SAO FRANCISCO;FUNERARIA SAO FRANCISCO DE FRANCA LTDA EPP;016 3720-5343;junior.paulo@uol.com.br;IUB;310.128.261.110;198;RUA DR JULIO CARDOSO;CENTRO;3516200;
13800-000;MOGI MIRIM;139;Base Bignotto;SP;51.361.202/0001-08;PORTIOLI R.R ASSISTENCIA FUNERAL LTDA;20;PORTIOLI R.R ASSISTA;PORTIOLI R.R ASSISTENCIA FUNERAL LTDA;019 9666-9370;funerariaportioli@hotmail.com.br;IUB;456.266.393.116;202;R PADRE ROQUE;CENTRO;3530805;
06023-901;OSASCO;300;Base Bignotto;SP;46.523.171/0001-04;PREFEITURA DO MUNICIPIO DE OSASCO;20;PREF.OSASCO;PREFEITURA DO MUNICIPIO DE OSASCO;011 3652-9000;edineris.sso@osasco.sp.gov.br;IUB;ISENTO;203;AVENIDA BUSSOCABA;VILA CAMPESINA;3534401;011 3652.9226
13320-150;SALTO;247;Base Bignotto;SP;55.266.381/0001-47;EMPRESA FUNERARIA SALTENSE LTDA EPP;20;SALTENSE;EMPRESA FUNERARIA SALTENSE LTDA EPP;011 4029-3240;fabio@funerariasaltense.com.br;IUB;600.017.326.110;204;RUA FLORIANO PEIXOTO;CENTRO;3545209;
27215-620;VOLTA REDONDA;53;Base Bignotto;RJ;32.512.501/0001-43;MUNICIPIO DE VOLTA REDONDA;20;PR.V.REDONDA;MUNICIPIO DE VOLTA REDONDA;024 3345-4444;dga.smf@epdvr.com.br;IUB;ISENTO;210;PRACA SAVIO GAMA;CENTRO;3306305;
29025-023;VITORIA;143;Base Bignotto;ES;28.141.190/0001-86;IRM SANTA CASA MISERICORDIA DE VITORIA;20;STA VITORIA;IRM SANTA CASA MISERICORDIA DE VITORIA;027 3222-0738;santacasapaz@santacasavitoria.org;IUB;ISENTO;214;RUA DR JOAO DOS S NEVES;VILA RUBIM;3205309;
17380-000;BROTAS;362;Base Bignotto;SP;04.635.544/0001-80;SOUZA E POLAQUINI LTDA ME;20;FUNERARIA BROTENSE;SOUZA E POLAQUINI LTDA ME;014 3653-1884;www.funebrotas@netsite.br;IUB;228.005.212.111;215;RUA MARINO OSTI;CENTRO;3507902;014 98124-2900
16015-435;ARACATUBA;73;Base Bignotto;SP;45.511.847/0001-79;MUNICIPIO DE ARACATUBA;20;PREF DE ARACATUBA;MUNICIPIO DE ARACATUBA;018 3623-4552;dac.sgge@aracatuba.sp.gov.br;IUB;ISENTO;216;RUA COELHO NETO;VILA SAO PAULO;3502804;018 3620-6539
16370-000;PROMISSAO;92;Base Bignotto;SP;59.331.157/0001-42;ESDRAS RODRIGUES JUNIOR ME;20;BOM PASTOR DE PROMIS;ESDRAS RODRIGUES JUNIOR ME;014 3541-0533;esdrasrjunior@gmail.com;IUB;564.057.499.112;218;RUA CEL JOAO FRANCISCO COELHO;CENTRO;3541604;
18650-000;SAO MANUEL;831;Base Bignotto;SP;02.870.766/0001-52;PANHOZZI E PANHOZZI SAO MANUEL LTDA;20;FUNERARIA BENATO;PANHOZZI E PANHOZZI SAO MANUEL LTDA;014 3437-1600;murilopz@hotmail.com;IUB;ISENTO;220;RUA DOS ANDRADAS;CENTRO;3550100;
37757-000;POCO FUNDO;373;Base Bignotto;MG;19.866.110/0001-69;JOAQUIM ELOIR PEREIRA;20;ELOIR PEREIR;JOAQUIM ELOIR PEREIRA;035 99911-1977;eloir54pereira@hotmail.com;IUB;517918156.00-73;221;AV DR. LELIO DE ALMEIDA;CENTRO;3151701;
13530-000;ITIRAPINA;282;Base Bignotto;SP;60.432.309/0001-82;LOURIVAL DOS SANTOS PIRES JUNIOR FUNERAR;20;FUNERARIA SAO JUDAS;LOURIVAL DOS SANTOS PIRES JUNIOR FUNERARIA;019 3575-1121;funerariasaojudastadeu@gmail.com;IUB;384.004.760.115;230;AVENIDA QUATRO;CENTRO;3523602;019 99688-2178
25807-100;TRES RIOS;107;Base Bignotto;RJ;28.885.580/0001-60;FUNERARIA SANTA TEREZINHA LTDA;20;FUNERARIA SANTA TERE;FUNERARIA SANTA TEREZINHA LTDA;024 2252-0350;funerariasantaterezinha1910@hotmail.com;IUB;80.769.342;234;RUA DO QUINCAO;CENTRO;3306008;
13250-000;ITATIBA;225;Base Bignotto;SP;50.124.403/0001-10;FUNERARIA ORDINE LTDA ME;20;;FUNERARIA ORDINE LTDA ME;011 45382842;funerariaordine@hotmail.com;IUB;382.001.685.110;238;RUA BENJAMIN CONSTANT;BAIRRO;3523404;011 4524-0095
13660-000;PORTO FERREIRA;368;Base Bignotto;SP;54.826.920/0001-92;RUBENS BURIM FILHO ME;20;RUBENS BURIM;RUBENS BURIM FILHO ME;019 3581-3274;mspirondi1@gmail.com;IUB;ISENTO;240;RUA LUIZ GAMA;CENTRO;3540705;
13900-400;AMPARO;705;Base Bignotto;SP;43.465.459/0001-73;PREFEITURA MUNICIPAL DE AMPARO;20;AMPARO;PREFEITURA MUNICIPAL DE AMPARO;019 3817-9300;licitacoes@amparo.sp.gov.br;IUB;ISENTO;246;AVENIDA BERNARDINO DE CAMPOS;CENTRO;3501905;
38440-128;ARAGUARI;740;Base Bignotto;MG;17.661.596/0001-73;PAX DO BRASIL ADMINISTRACAO LTDA EPP;20;PAX DO BRASIL;PAX DO BRASIL ADMINISTRACAO LTDA EPP;034 3241-0940;paxdobrasil@uol.com.br;IUB;ISENTO;252;RUA MARCIANO SANTOS;CENTRO;3103504;
35500-008;DIVINOPOLIS;60;Base Bignotto;MG;18.291.351/0001-64;PREFEITURA MUNICIPAL DE DIVINOPOLIS;20;DIVINOPOLIS.;PREFEITURA MUNICIPAL DE DIVINOPOLIS;037 3229-6675;claudiogerencialuto@gmail.com;IUB;ISENTO;254;RUA PERNAMBUCO;CENTRO;3122306;037 3229-5000
38081-000;UBERABA;1731;Base Bignotto;MG;17.776.956/0001-82;FUNERARIA UBERABA LTDA;20;;FUNERARIA UBERABA LTDA;034 3321-5889;funerariauberaba@hotmail.com;IUB;701.126.430.00-00;261;AVENIDA LEOPOLDINO DE OLIVEIRA;PARQUE DO MIRANTE;3170107;
19570-000;REGENTE FEIJO;279;Base Bignotto;SP;57.701.385/0001-31;FUNERARIA REGENTE FEIJO LTDA ME;20;FUN. REGENTE;FUNERARIA REGENTE FEIJO LTDA ME;018 3279-1060;funerariaregente@hotmail.com;IUB;572.005.467.116;264;RUA BRIGADEIRO TOBIAS;CENTRO;3542404;
